tsne-3d-one,tsne-3d-two,tsne-3d-three,Prompt,Property
3.5136209,11.870089,-7.3888226,Condense this into a single tweet.,Brevity
3.512618,6.1409388,-14.627888,Reduce this text to a maximum of 50 words. ,Brevity
10.349429,18.034515,4.462049,Rewrite this in the style of a haiku.,Brevity
1.6917107,4.4783907,-13.9012375,Summarize this text in a 10-word elevator pitch.,Brevity
15.435425,5.4304414,-12.665799,"Shorten this to its essential core, removing unnecessary details. ",Brevity
4.551604,8.410761,-8.1516695,Rephrase this using only the most impactful words.,Brevity
2.0166957,10.042742,-3.7242956,Convert this text into a snappy tagline. ,Brevity
19.058191,2.25194,-12.181472,Rewrite for maximum brevity and clarity.,Brevity
18.132338,5.189853,-13.805693,"Focus on brevity, eliminate all unnecessary words or phrases.",Brevity
10.244865,5.238724,-11.826861,Cut this down to its absolute core message.,Brevity
2.1375003,5.7509923,-8.274154,Summarize this as a concise headline.,Brevity
18.889584,5.464693,-13.561936,Eliminate redundancy and repetition for maximum conciseness.,Brevity
22.352613,0.7853165,-13.104678,"Rewrite this using short, simple sentences for clarity.",Brevity
14.3899555,4.987953,-12.65942,"Focus on the essential information, remove any extraneous details.",Brevity
2.7433214,3.001337,-14.049453,"Create a brief, powerful summary of this text. ",Brevity
18.846083,6.903985,-7.875835,"Replace complex phrases with simple, direct alternatives.",Brevity
19.552414,1.7680964,-14.036834,"Write this in a concise, to-the-point manner.",Brevity
18.626654,9.524708,-10.4424095,Eliminate any flowery or overly descriptive language.,Brevity
19.667812,2.638169,-12.191839,Rephrase in a way that maximizes brevity without losing meaning.,Brevity
20.230413,4.363039,-14.531233,"Condensation is key, make this as short as possible.",Brevity
26.493687,5.7586627,-7.1278276,Rephrase this using active verbs for a more concise style.,Brevity
20.738895,11.136807,-9.086031,"Cut down on adverbs and adjectives, be direct.",Brevity
18.040241,5.073089,-13.951281,"Prioritize conciseness, eliminate wordiness.",Brevity
20.119297,3.7994094,-14.038364,Make this as short as possible while communicating the key point.,Brevity
-11.509792,3.2234397,-22.380087,Create a  brief marketing blurb from this text.,Brevity
20.64248,1.3926475,-13.057289,"Rewrite this, focusing on impact and brevity. ",Brevity
18.47557,9.540905,-12.6515465,Remove any non-essential information or phrases.,Brevity
16.504244,5.378143,-13.397171,Cut out any tangents or digressions to keep it streamlined.,Brevity
5.1790757,4.3619704,-11.739008,"Make this a concise, one-sentence summary.",Brevity
20.931274,1.4802418,-15.978906,Rewrite as a short and straightforward press release excerpt.,Brevity
19.40972,7.8633804,-11.958524,Rephrase to remove unnecessary filler words.,Brevity
9.17375,7.0740023,-17.27112,Aim for a clear and succinct logline based on this text.,Brevity
13.952009,-13.190361,-13.177439,"Rewrite this in bullet points, highlighting only the key points. ",Brevity
-3.1041207,10.76177,-12.575207,Remove conversational phrases for a more formal tone.,Brevity
19.63511,2.8585587,-11.773642,Rephrase with minimal word count and maximum impact.,Brevity
18.224878,-0.79949474,-11.154608,"Rewrite this, prioritizing clarity and brevity over stylistic flourishes.",Brevity
15.070798,5.576548,-12.594827,"Focus on conciseness, removing all but the essential information.",Brevity
10.310733,5.2532296,-11.618992,Distill this down to its absolute essence.,Brevity
3.5402465,10.1708975,-2.5069392,"Create a brief, memorable slogan based on this concept.",Brevity
14.52383,5.690317,-12.572388,"Focus on a few core elements, remove everything else.",Brevity
-1.6280133,-13.470483,-1.1977571,Replace lengthy descriptions with powerful imagery.,Brevity
10.100364,4.712799,-12.993647,"Condense this, preserving the core meaning. ",Brevity
14.137707,5.0085764,-12.773293,"Sharpen the focus, remove any information that detracts from the main point.",Brevity
19.123804,2.2939835,-12.356074,Rephrase for utmost conciseness.,Brevity
19.62468,2.741105,-12.235088,Rewrite for maximum brevity without sacrificing meaning.,Brevity
6.125533,3.7861698,-8.561667,"Aim for a short, impactful statement that captures the essence.",Brevity
18.57288,6.36971,-13.0009575,Eliminate wordiness and repetition for a more streamlined text.,Brevity
18.105719,-0.38863263,-14.93742,Simplify language and sentence structure for maximum clarity.,Brevity
-7.367234,-26.555748,-2.7433069,Rewrite with stronger verbs to add impact and urgency.,Emphasis
13.734806,-15.005465,-11.803978,Incorporate bold formatting strategically to emphasize key points. ,Emphasis
23.44238,-14.690757,-0.23971303,Use exclamation points sparingly for dramatic effect.,Emphasis
18.5768,5.8240113,-5.213109,Replace weak adjectives with more descriptive and powerful ones.,Emphasis
21.227844,-16.093534,-8.426418,Reorder phrases to place the most important information at the start. ,Emphasis
15.53092,-16.65185,-4.70943,Use repetition intentionally to hammer home a point.,Emphasis
26.29075,-4.817175,-14.321851,"Employ short, impactful sentences for a dramatic staccato feel.",Emphasis
14.417866,-6.9758735,-4.383018,Add a rhetorical question to provoke thought and emphasize a point.,Emphasis
-7.132628,-22.867083,-4.659733,Introduce a sense of urgency with time-sensitive language.,Emphasis
20.922218,-12.863982,2.987301,Amplify certain words with capitalization for attention.,Emphasis
-6.694211,-14.992951,-3.7780325,"Rephrase to emphasize emotions, motivations, or consequences.",Emphasis
13.064522,-17.136587,-4.76123,Sharpen the focus on a central theme for greater impact.,Emphasis
-10.651135,-14.70025,1.6734673,Inject a sense of passion and conviction into the text.,Emphasis
6.8886166,-5.1411004,1.1816536,Use contrast to highlight key differences or juxtapositions.,Emphasis
5.1986127,0.20159237,-5.615098,Incorporate a surprising or shocking statement to grab attention. ,Emphasis
0.2917184,-12.899845,-0.8830504,Rewrite this using vivid metaphors and similes.,Creativity
2.3486495,-15.97718,3.846172,Incorporate sensory details for a more immersive experience.,Creativity
9.770755,17.186022,6.6872716,Transform the text into a short poem or song.,Creativity
19.526829,7.202391,-2.8231976,Replace mundane words with surprising and unexpected alternatives.,Creativity
4.8360753,-6.4990897,-5.0149317,Introduce symbolism to add layers of meaning.,Creativity
1.0019604,-12.158736,17.524082,"Tell this story from a unique,  unconventional perspective.",Creativity
8.192038,-4.7379217,13.335096,Incorporate playful or humorous language.,Creativity
-0.6798068,-7.541592,-0.7050128,Use personification to bring inanimate objects or concepts to life.,Creativity
-7.636169,18.703117,12.850474,Rewrite this as a fairy tale or fable with a moral.,Creativity
12.725054,2.2999418,18.425507,Infuse the text with playful exaggeration or hyperbole.,Creativity
1.1074235,-4.878824,3.129869,Draw inspiration from a piece of music or art to shape the style.,Creativity
-11.505422,-0.31062335,13.072378,Inject elements of fantasy or science fiction into the text.,Creativity
-10.727391,5.4406543,-6.7485967,Use allusions or references to literature or pop culture.,Creativity
3.4113436,-2.6069238,-2.4700031,Craft an origin story or backstory to add depth. ,Creativity
24.460667,-10.398685,3.6272388,Experiment with unusual sentence structures or word order. ,Creativity
23.49067,-2.097617,-10.336378,Break down complex sentences into simpler ones for better comprehension.,Clarity
